184;2012-11-08;Bateria de cocina Invoca 5pcs;180;El corte ingles;upload/BateriaCocina.jpg; ; ; ; ;;
185;2012-11-23;Raton;15; ; ; ; ; ; ;;
186;2012-11-29;Cazadora 'piel';49;El corte ingles. Saldos; ; ; ; ; ;;
187;2012-12-03;Calefactor convector con ventilador;20;Carrefour Ubeda; ; ; ; ; ;;
188;2012-12-15;Banqueta plegable;0; ;upload/compras_imgiPad de Juan Jose000050.jpg; ; ; ; ;;
189;2013-01-06;Guitarra acustica Fender;170;A Juan Mayas;upload/GuitarraAlvaro.jpg; ; ; ; ;;
190;2013-03-13;Amasadora Clatronic KM 3323;93; ;upload/Amasadora.jpg; ; ; ; ;;
191;2013-03-19;Afeitadora Braun Series 3 -330S-;89;Alcampo;upload/AfeitadoraBraun02.jpg; ; ; ; ;;
192;2013-05-07;Kindle Paperwhite;129;Josema; ; ; ; ; ;;
193;2013-05-07;Kindle Paperwhite;129;Alo. En 2017 se lo regala a la yaya;upload/KindlePaperwhite.png; ; ; ; ;;
194;2013-05-18;Cortapelo Braun Series 5;57; ;upload/CortaPelo.jpg; ; ; ; ;;
195;2013-06-04;Tv Samsung EA22ES5000w;169;https:--dl.dropboxusercontent.com-1-view-58e5fufcr9fxff3-Public-Manuales-ManualSamsungTV.pdf;upload/01tvSamsung.jpg; ; ; ; ;;
196;2013-06-13;Teclado ipad;18; ;upload/TecladoIpad.jpg;upload/TecladoIpad03.png; ; ; ;;
197;2013-06-25;Teclado PC Inves;9; ; ; ; ; ; ;;
198;2013-07-03;Gafas progresivas. Josema;455;General Ã‡Ã¼ptica; ; ; ; ; ;;
199;2013-07-08;Gafas sol. Josema;128;General Ã‡Ã¼ptica; ; ; ; ; ;;
200;2013-07-10;Medidor glucemia;48;Farmacia Peralto;upload/78826-thickbox.jpg; ; ; ; ;;
201;2013-08-10;Plancha de viaje Saivod Voyager;10; ;upload/PlanchaViaje.JPG; ; ; ; ;;
202;2013-08-10;Quitapelusas Saivod QP-12;8;Recargable;upload/QuitaPelotillas.JPG; ; ; ; ;;
203;2013-09-28;Portatil Lenovo G500;599;Alcampo;upload/PCLenovo02.JPG; ; ; ; ;;
204;2013-09-28;Tajeta SD 16Gb;17;Alcampo; ; ; ; ; ;;
205;2013-10-02;Grifo lavabo;70;Paceva;upload/GrifoBanoChico.jpg; ; ; ; ;;
206;2013-11-12;Tinta impresora;35;Alcampo; ; ; ; ; ;;
207;2013-11-15;Carat Electronics TPA-02 - Tripode;66; ;upload/TripodeAlo.png; ; ; ; ;;
208;2013-12-17;Teleobjetivo Sigma 882954;266; ;upload/TeleobjetivoCanon.jpg;upload/TeleobjetivoCanon02.jpg; ; ; ;;
209;2013-12-17;Tableta grafica Wacom Intuos;86; ;upload/TabletaGradicaAlo02.jpg; ; ; ; ;;
210;2014-01-06;Inkling Wacom;100;Regalo de Alvaro por Reyes;upload/InkLink02.jpg;upload/InkLink04.jpg; ; ; ;;
211;2014-01-06;Filtros fotograficos Alo;32; ;upload/Filtros02.png;upload/Filtros01.png; ; ; ;;
212;2014-02-07;Cargador 12W;0; ; ; ; ; ; ;;
213;2014-02-15;Disco duro 2.5 Alo;74; ; ; ; ; ; ;;
214;2014-03-18;Freidora Moulinex;66;Alcampo; ; ; ; ; ;;
215;2014-03-24;Disco duro WD Elements 2.5.  1Tb;65;Alcampo; ; ; ; ; ;;
216;2014-05-16;Soporte Galaxy S3. Amazon;22; ;upload/SoporteS3-02.jpg;upload/SoporteCargadorS3.jpg; ; ; ;;
217;2014-05-23;Altavoz Bluetooth. Compro otro para Alvaro a 20€;35; ;upload/AltavozBluetoothNegro.jpg;upload/AltavozBluetoothNegro02.jpg; ; ; ;;
218;2014-06-03;Canon 70D;1007;Amazon;upload/Canon70D.jpg;upload/CanonEOS70D.jpg;upload/CanonEOS70D_03.jpg; ; ;;
219;2014-06-05;Caja de luz para fotografia;35;Amazon.. ; ; ; ; ; ;;
220;2014-06-23;Maleta de ruedas grande y negra;63; ; ; ; ; ; ;;
221;2014-06-26;Tubos extension Canon (macro);28; ; ; ; ; ; ;;
222;2014-07-21;Radio portatil Sunstech PRDS800;40; ; ; ; ; ; ;;
223;2014-09-02;Taladro sin cable;25; ; ; ; ; ; ;;
224;2014-11-18;Calefactor convector Taurus;55; ; ; ; ; ; ;;
225;2015-01-06;Monitor Samsung Alo;240; ; ; ; ; ; ;;
226;2015-01-08;Digitalizador de negativos Rollei DF-S 100 SE;59; ; ; ; ; ; ;;
